state,action,reward,next_state
"(7, False, 8)",stand,-2,terminal
"(16, False, 10)",stand,-2,terminal
"(5, False, 11)",hit,0,"(10, False, 11)"
"(10, False, 11)",hit,0,"(19, False, 11)"
"(19, False, 11)",hit,-1,terminal
"(17, False, 6)",hit,-2,terminal
"(20, False, 5)",hit,-2,terminal
"(17, False, 10)",stand,0,terminal
"(13, False, 3)",hit,0,"(18, False, 3)"
"(18, False, 3)",hit,-2,terminal
"(5, False, 7)",hit,0,"(15, False, 7)"
"(15, False, 7)",stand,-2,terminal
"(12, False, 10)",stand,-2,terminal
"(18, False, 7)",stand,-2,terminal
"(12, False, 4)",stand,-2,terminal
"(19, True, 8)",stand,1,terminal
"(12, False, 7)",hit,-2,terminal
"(15, False, 10)",stand,-2,terminal
"(15, False, 4)",stand,-2,terminal
"(17, False, 5)",hit,-2,terminal
"(17, False, 11)",stand,2,terminal
"(16, True, 10)",hit,0,"(20, True, 10)"
"(20, True, 10)",stand,0,terminal
"(12, False, 10)",hit,-2,terminal
"(16, False, 6)",stand,1,terminal
"(20, False, 9)",hit,0,"(21, False, 9)"
"(21, False, 9)",stand,1,terminal
"(11, False, 5)",hit,0,"(16, False, 5)"
"(16, False, 5)",stand,1,terminal
"(20, False, 5)",stand,1,terminal
"(14, False, 4)",stand,-2,terminal
"(20, False, 10)",stand,0,terminal
"(19, False, 4)",stand,0,terminal
"(15, False, 7)",hit,0,"(19, False, 7)"
"(19, False, 7)",hit,0,"(21, False, 7)"
"(21, False, 7)",stand,1,terminal
"(14, True, 7)",stand,-2,terminal
"(17, False, 10)",hit,0,"(21, False, 10)"
"(21, False, 10)",stand,1,terminal
"(12, False, 6)",stand,1,terminal
"(11, False, 11)",stand,2,terminal
"(16, False, 9)",hit,0,"(18, False, 9)"
"(18, False, 9)",hit,-2,terminal
"(20, False, 9)",stand,1,terminal
"(10, False, 10)",stand,-2,terminal
"(14, False, 10)",stand,-2,terminal
"(14, False, 9)",hit,-2,terminal
"(9, False, 7)",stand,-2,terminal
"(12, False, 4)",stand,-2,terminal
