state,action,reward,next_state
"(16, False, 4)",1,-2,terminal
"(11, False, 9)",1,0,"(21, False, 9)"
"(21, False, 9)",2,1,terminal
"(16, False, 10)",2,-2,terminal
"(15, True, 6)",2,-2,terminal
"(12, False, 6)",1,0,"(20, False, 6)"
"(20, False, 6)",1,-2,terminal
"(7, False, 6)",1,0,"(12, False, 6)"
"(12, False, 6)",2,1,terminal
"(13, False, 3)",2,-2,terminal
"(20, False, 10)",2,1,terminal
"(12, False, 10)",1,0,"(17, False, 10)"
"(17, False, 10)",2,1,terminal
"(17, False, 5)",2,1,terminal
"(4, False, 11)",2,-1,terminal
"(15, False, 10)",2,-2,terminal
"(10, False, 8)",2,1,terminal
"(9, False, 9)",1,0,"(12, False, 9)"
"(12, False, 9)",2,-2,terminal
"(12, False, 2)",1,0,"(14, False, 2)"
"(14, False, 2)",2,-2,terminal
"(12, False, 10)",2,-2,terminal
"(20, True, 3)",2,1,terminal
"(14, False, 4)",1,0,"(19, False, 4)"
"(19, False, 4)",2,1,terminal
"(16, False, 3)",2,-2,terminal
"(13, True, 7)",2,-2,terminal
"(19, False, 10)",2,0,terminal
"(20, False, 10)",2,1,terminal
"(16, True, 2)",1,0,"(16, False, 2)"
"(16, False, 2)",1,-2,terminal
"(13, False, 7)",2,-2,terminal
"(7, False, 2)",2,1,terminal
"(20, False, 8)",1,-2,terminal
"(8, False, 9)",2,-2,terminal
"(17, False, 3)",2,1,terminal
"(21, True, 3)",1,0,"(17, False, 3)"
"(17, False, 3)",2,-2,terminal
"(8, False, 10)",1,0,"(18, False, 10)"
"(18, False, 10)",1,-2,terminal
"(20, False, 2)",2,1,terminal
"(12, False, 10)",1,0,"(17, False, 10)"
"(17, False, 10)",1,-2,terminal
"(10, False, 3)",2,1,terminal
"(13, False, 6)",2,-2,terminal
"(21, True, 3)",1,0,"(17, False, 3)"
"(17, False, 3)",1,-2,terminal
"(16, False, 10)",1,-2,terminal
"(20, False, 10)",1,0,"(21, False, 10)"
"(21, False, 10)",1,-2,terminal
"(5, False, 10)",1,0,"(9, False, 10)"
"(9, False, 10)",1,0,"(15, False, 10)"
"(15, False, 10)",2,-2,terminal
"(12, False, 6)",1,-2,terminal
"(18, True, 10)",1,0,"(21, True, 10)"
"(21, True, 10)",1,0,"(13, False, 10)"
"(13, False, 10)",1,0,"(19, False, 10)"
"(19, False, 10)",1,-2,terminal
"(10, False, 10)",2,-2,terminal
"(20, False, 8)",1,-2,terminal
"(16, False, 5)",2,1,terminal
"(13, False, 8)",2,-2,terminal
"(15, False, 2)",1,-2,terminal
"(13, False, 8)",2,-2,terminal
"(13, False, 4)",1,0,"(21, False, 4)"
"(21, False, 4)",2,1,terminal
"(21, True, 4)",2,1,terminal
"(12, False, 6)",2,-2,terminal
"(11, False, 7)",1,0,"(21, False, 7)"
"(21, False, 7)",2,1,terminal
"(12, False, 5)",2,-2,terminal
"(9, False, 10)",1,0,"(14, False, 10)"
"(14, False, 10)",1,-2,terminal
"(17, False, 7)",2,0,terminal
"(15, False, 10)",1,-2,terminal
"(8, False, 10)",1,0,"(13, False, 10)"
"(13, False, 10)",2,-2,terminal
"(9, False, 8)",2,-2,terminal
"(13, False, 4)",2,1,terminal
"(12, False, 11)",1,0,"(19, False, 11)"
"(19, False, 11)",1,-1,terminal
"(16, False, 7)",1,0,"(18, False, 7)"
"(18, False, 7)",1,-2,terminal
"(13, False, 10)",2,-2,terminal
"(13, False, 10)",1,0,"(14, False, 10)"
"(14, False, 10)",1,-2,terminal
"(8, False, 9)",2,-2,terminal
"(20, False, 2)",2,1,terminal
"(19, False, 2)",2,1,terminal
"(10, False, 6)",1,0,"(20, False, 6)"
"(20, False, 6)",1,-2,terminal
"(10, False, 10)",1,0,"(19, False, 10)"
"(19, False, 10)",2,-2,terminal
"(16, False, 8)",2,-2,terminal
"(19, False, 11)",1,-1,terminal
"(14, False, 9)",2,-2,terminal
"(13, False, 2)",2,-2,terminal
"(20, False, 11)",2,2,terminal
"(19, True, 6)",1,0,"(19, False, 6)"
"(19, False, 6)",2,-2,terminal
"(16, False, 11)",1,0,"(19, False, 11)"
"(19, False, 11)",1,-1,terminal
"(13, False, 9)",1,0,"(17, False, 9)"
"(17, False, 9)",2,-2,terminal
"(12, False, 10)",1,0,"(20, False, 10)"
"(20, False, 10)",2,0,terminal
"(17, False, 10)",2,-2,terminal
"(8, False, 2)",2,-2,terminal
"(18, False, 2)",2,-2,terminal
"(9, False, 3)",1,0,"(15, False, 3)"
"(15, False, 3)",1,-2,terminal
"(18, True, 10)",1,0,"(16, False, 10)"
"(16, False, 10)",1,-2,terminal
"(18, False, 10)",2,-2,terminal
"(18, False, 6)",2,1,terminal
"(18, True, 3)",1,0,"(12, False, 3)"
"(12, False, 3)",2,-2,terminal
"(20, False, 10)",1,-2,terminal
"(11, False, 10)",2,1,terminal
"(13, False, 11)",2,-1,terminal
"(21, True, 3)",2,1,terminal
"(13, True, 10)",1,0,"(13, False, 10)"
"(13, False, 10)",1,-2,terminal
"(9, False, 7)",1,0,"(19, False, 7)"
"(19, False, 7)",2,0,terminal
"(14, False, 2)",1,0,"(20, False, 2)"
"(20, False, 2)",1,-2,terminal
"(6, False, 8)",1,0,"(11, False, 8)"
"(11, False, 8)",2,-2,terminal
"(12, True, 10)",1,0,"(20, True, 10)"
"(20, True, 10)",2,-2,terminal
"(12, False, 8)",2,-2,terminal
"(21, True, 11)",2,2,terminal
"(14, False, 2)",2,-2,terminal
"(17, False, 9)",2,-2,terminal
"(12, False, 3)",2,1,terminal
"(14, True, 10)",2,1,terminal
"(14, False, 7)",1,-2,terminal
"(8, False, 6)",2,-2,terminal
"(17, False, 10)",1,0,"(21, False, 10)"
"(21, False, 10)",2,0,terminal
"(11, False, 6)",2,-2,terminal
"(12, False, 9)",1,0,"(13, False, 9)"
"(13, False, 9)",1,-2,terminal
"(20, False, 6)",1,-2,terminal
"(10, False, 11)",1,0,"(14, False, 11)"
"(14, False, 11)",1,0,"(18, False, 11)"
"(18, False, 11)",2,-1,terminal
"(17, False, 3)",2,-2,terminal
"(8, False, 6)",2,-2,terminal
"(14, False, 6)",2,1,terminal
"(17, False, 4)",1,-2,terminal
"(11, False, 11)",1,0,"(12, False, 11)"
"(12, False, 11)",2,-1,terminal
"(20, False, 3)",2,1,terminal
"(14, False, 7)",2,-2,terminal
"(18, False, 10)",1,-2,terminal
"(13, False, 4)",2,1,terminal
"(9, False, 2)",1,0,"(20, True, 2)"
"(20, True, 2)",1,0,"(20, False, 2)"
"(20, False, 2)",2,1,terminal
"(15, True, 10)",2,1,terminal
"(20, False, 9)",2,0,terminal
"(17, False, 6)",2,-2,terminal
"(15, False, 2)",2,-2,terminal
"(11, False, 10)",1,0,"(17, False, 10)"
"(17, False, 10)",1,0,"(19, False, 10)"
"(19, False, 10)",2,-2,terminal
"(16, False, 5)",1,-2,terminal
"(12, False, 11)",1,-1,terminal
"(20, False, 10)",2,0,terminal
"(18, False, 4)",1,-2,terminal
"(13, False, 4)",1,-2,terminal
"(19, False, 10)",1,-2,terminal
"(16, True, 10)",1,0,"(19, True, 10)"
"(19, True, 10)",1,0,"(17, False, 10)"
"(17, False, 10)",2,1,terminal
"(11, False, 6)",2,1,terminal
"(20, True, 6)",2,0,terminal
"(7, False, 10)",1,0,"(17, False, 10)"
"(17, False, 10)",2,-2,terminal
"(15, False, 6)",1,-2,terminal
"(9, False, 11)",2,-1,terminal
"(21, True, 11)",1,0,"(20, False, 11)"
"(20, False, 11)",2,0.5,terminal
"(19, True, 6)",2,-2,terminal
"(12, False, 7)",1,0,"(18, False, 7)"
"(18, False, 7)",1,-2,terminal
"(12, False, 10)",1,0,"(21, False, 10)"
"(21, False, 10)",1,-2,terminal
"(20, False, 10)",2,1,terminal
"(13, True, 9)",1,0,"(13, False, 9)"
"(13, False, 9)",1,0,"(15, False, 9)"
