state,action,reward,next_state
197,2,-2,321
300,1,-1,321
288,1,-2,321
143,2,-2,321
216,1,0,236
236,2,-2,321
168,1,0,228
228,1,-2,321
198,1,-2,321
240,1,-1,321
126,2,-2,321
239,2,-1,321
116,2,1,321
106,1,0,206
206,2,-2,321
303,2,1,321
187,1,0,188
188,2,-2,321
89,2,-2,321
85,1,0,270
270,1,0,290
290,1,-2,321
234,1,0,314
314,1,-2,321
126,1,0,286
286,1,-2,321
138,2,-2,321
278,1,-2,321
258,1,-2,321
282,2,1,321
112,2,-2,321
313,1,0,154
154,1,-2,321
182,1,0,202
202,2,1,321
128,2,-2,321
317,1,0,298
298,2,1,321
266,2,1,321
96,1,0,152
152,1,0,212
212,2,-2,321
120,2,-1,321
317,1,0,138
138,1,0,218
218,2,1,321
258,1,-2,321
277,2,-2,321
252,1,-2,321
138,1,0,318
318,1,-2,321
241,1,0,301
301,2,1,321
248,2,1,321
178,1,0,238
238,2,-2,321
209,2,-2,321
290,1,-2,321
74,2,1,321
218,2,1,321
85,1,0,150
150,2,1,321
99,2,-2,321
69,1,0,218
218,1,-2,321
207,1,0,128
128,2,1,321
278,1,-2,321
298,2,0,321
156,2,1,321
284,2,0,321
236,1,0,316
316,1,-2,321
190,1,0,210
210,2,1,321
106,2,-2,321
264,1,-2,321
212,1,-2,321
275,1,0,276
276,1,-2,321
278,1,-2,321
65,2,-2,321
161,1,0,122
122,1,-2,321
292,1,-2,321
138,1,0,178
178,1,-2,321
182,2,1,321
165,2,-2,321
258,1,-2,321
184,2,1,321
317,1,0,258
258,2,1,321
254,1,-2,321
55,2,1,321
258,1,-2,321
188,2,1,321
251,2,1,321
298,2,-2,321
258,2,-2,321
194,1,0,214
214,1,0,274
274,1,-2,321
174,1,-2,321
157,1,0,257
257,1,0,317
317,1,0,318
318,2,1,321
317,1,0,318
318,2,1,321
160,1,-1,321
178,1,-2,321
171,2,-2,321
196,1,0,256
256,1,-2,321
99,1,0,238
238,2,-2,321
93,2,-2,321
258,2,-2,321
222,1,-2,321
198,2,-2,321
282,2,1,321
222,1,0,242
242,2,-2,321
238,1,-2,321
118,2,-2,321
206,2,1,321
262,1,0,302
302,2,1,321
79,1,0,178
178,1,-2,321
34,2,1,321
243,2,0,321
303,1,0,304
304,1,-2,321
140,2,-1,321
138,2,-2,321
176,1,0,276
276,2,0,321
266,1,-2,321
84,2,-2,321
65,1,0,230
230,1,-2,321
298,1,-2,321
252,1,0,292
292,1,-2,321
198,1,-2,321
72,2,1,321
176,1,0,316
316,1,-2,321
138,2,-2,321
298,2,1,321
178,2,-2,321
228,2,1,321
170,2,1,321
158,1,0,298
298,2,0,321
140,1,0,200
200,2,-1,321
278,2,0,321
286,2,1,321
154,1,0,314
314,2,1,321
244,1,-2,321
100,1,0,319
319,1,0,160
160,2,-1,321
258,2,-2,321
204,2,1,321
290,2,0,321
106,2,-2,321
202,2,-2,321
298,1,-2,321
238,2,-2,321
286,1,-2,321
150,1,0,170
170,1,0,210
210,2,-2,321
136,2,-2,321
198,2,-2,321
255,1,0,256
256,1,-2,321
89,1,0,198
198,2,-2,321
140,2,2,321
136,2,-2,321
252,1,-2,321
54,1,0,208
208,1,-2,321
132,2,-2,321
279,2,2,321
198,1,0,298
298,2,-2,321
82,1,0,204
204,1,0,264
264,1,-2,321
222,1,-2,321
206,1,0,286
286,1,-2,321
208,1,-2,321
198,1,-2,321
126,1,0,166
166,1,-2,321
170,2,-2,321
175,2,-2,321
154,1,0,294
294,1,-2,321
196,2,-2,321
218,2,1,321
158,2,-2,321
158,1,0,238
238,1,0,278
278,2,-2,321
230,1,-2,321
79,2,-2,321
298,1,-2,321
296,2,0,321
43,1,0,146
146,2,1,321
290,1,-2,321
257,2,1,321
282,1,-2,321
122,2,-2,321
214,2,-2,321
186,2,-2,321
315,1,0,216
216,1,-2,321
134,1,0,154
154,1,0,214
214,1,-2,321
146,2,-2,321
315,2,1,321
208,2,1,321
298,2,1,321
278,1,-2,321
158,1,0,318
318,1,-2,321
244,1,-2,321
238,1,-2,321
256,2,-2,321
186,2,-2,321
273,1,0,174
174,1,0,314
314,2,1,321
286,1,-2,321
178,2,-2,321
280,1,-1,321
148,1,0,268
268,1,-2,321
208,1,0,308
308,1,-2,321
266,1,-2,321
274,1,-2,321
186,1,-2,321
298,1,-2,321
173,1,0,174
174,2,1,321
92,1,0,264
264,1,-2,321
286,2,1,321
168,2,-2,321
53,2,1,321
49,1,0,198
198,1,0,318
318,2,1,321
118,2,-2,321
256,1,-2,321
211,1,0,251
251,1,0,271
271,2,1,321
198,1,-2,321
128,2,1,321
176,2,-2,321
278,1,-2,321
118,2,-2,321
172,2,-2,321
98,1,0,256
256,1,-2,321
76,1,0,152
152,1,0,192
192,2,-2,321
91,2,1,321
266,1,-2,321
170,2,1,321
106,1,0,186
186,1,0,226
226,1,0,266
266,1,0,286
286,1,0,306
306,2,1,321
262,2,1,321
148,1,0,168
168,1,-2,321
296,2,0,321
138,1,0,318
318,1,-2,321
238,2,-2,321
258,1,-2,321
184,2,-2,321
95,1,0,309
309,2,1,321
126,2,-2,321
228,2,-2,321
284,2,-2,321
161,1,0,162
162,1,-2,321
148,1,0,188
188,1,-2,321
116,1,0,196
196,2,-2,321
276,1,-2,321
238,2,-2,321
180,2,-1,321
284,2,1,321
198,2,-2,321
192,2,1,321
300,1,-1,321
165,1,0,305
305,2,1,321
140,2,2,321
218,1,0,318
318,1,-2,321
284,1,-2,321
136,1,0,276
276,2,1,321
254,1,-2,321
134,1,0,154
154,2,-2,321
138,2,-2,321
218,2,1,321
219,2,-1,321
212,2,-2,321
128,1,0,168
168,2,-2,321
46,1,0,192
192,2,1,321
158,1,0,278
278,2,1,321
236,1,-2,321
258,1,0,318
318,1,-2,321
218,2,-2,321
292,2,0,321
89,2,-2,321
258,1,-2,321
130,1,-2,321
162,1,0,242
242,2,1,321
298,1,-2,321
100,1,0,240
240,1,-1,321
240,2,0.5,321
166,2,-2,321
317,2,1,321
141,1,0,261
261,2,1,321
174,1,0,294
294,2,1,321
198,1,-2,321
311,1,0,212
212,1,-2,321
208,2,1,321
230,2,1,321
167,2,-2,321
138,1,-2,321
278,2,-2,321
237,1,0,198
198,1,0,298
298,2,0,321
120,1,0,140
140,1,0,240
240,1,-1,321
172,2,-2,321
61,1,0,202
202,1,-2,321
91,2,-2,321
89,2,-2,321
294,1,-2,321
238,2,-2,321
89,1,0,278
278,2,0,321
224,2,-2,321
208,1,-2,321
102,1,0,302
302,1,-2,321
142,2,1,321
227,2,1,321
108,1,0,208
