state,action,reward,next_state
"(20, False, 6, False)",stand,1,terminal
"(17, False, 10, False)",stand,-1,terminal
"(20, False, 3, False)",hit,-1,terminal
"(20, False, 9, False)",stand,1,terminal
"(14, False, 10, False)",hit,0,"(21, False, 10, False)"
"(21, False, 10, False)",hit,-1,terminal
"(14, False, 10, False)",hit,0,"(16, False, 10, False)"
"(16, False, 10, False)",stand,-1,terminal
"(16, False, 5, False)",stand,1,terminal
"(8, False, 10, False)",hit,0,"(18, False, 10, False)"
"(18, False, 10, False)",stand,-1,terminal
"(13, False, 10, False)",stand,-1,terminal
"(10, False, 8, False)",hit,0,"(19, False, 8, False)"
"(19, False, 8, False)",stand,0,terminal
"(20, False, 9, False)",stand,1,terminal
"(20, True, 10, False)",stand,1,terminal
"(19, False, 5, False)",hit,-1,terminal
"(16, False, 11, True)",hit,0,"(20, False, 11, True)"
"(20, False, 11, True)",stand,2,terminal
"(21, True, 8, False)",hit,0,"(16, False, 8, False)"
"(16, False, 8, False)",stand,-1,terminal
"(17, False, 4, False)",stand,1,terminal
"(13, False, 10, False)",hit,0,"(18, False, 10, False)"
"(18, False, 10, False)",hit,0,"(19, False, 10, False)"
"(19, False, 10, False)",hit,0,"(20, False, 10, False)"
"(20, False, 10, False)",hit,-1,terminal
"(14, False, 3, False)",stand,-1,terminal
"(12, False, 3, False)",stand,-1,terminal
"(13, False, 3, False)",hit,-1,terminal
"(16, False, 8, False)",hit,0,"(18, False, 8, False)"
"(18, False, 8, False)",hit,0,"(20, False, 8, False)"
"(20, False, 8, False)",stand,1,terminal
"(12, False, 9, False)",stand,-1,terminal
"(18, False, 2, False)",hit,-1,terminal
"(18, False, 10, False)",hit,-1,terminal
"(10, False, 10, False)",hit,0,"(12, False, 10, False)"
"(12, False, 10, False)",hit,0,"(18, False, 10, False)"
"(18, False, 10, False)",hit,-1,terminal
"(7, False, 4, False)",hit,0,"(18, True, 4, False)"
"(18, True, 4, False)",stand,1,terminal
"(15, False, 2, False)",hit,-1,terminal
"(14, False, 5, False)",hit,0,"(17, False, 5, False)"
