State,Number
"(20, True, 10)",267
"(20, False, 10)",268
"(20, True, 11)",269
"(20, False, 11)",270
"(21, True, 2)",271
"(21, False, 2)",272
"(21, True, 3)",273
"(21, False, 3)",274
"(21, True, 4)",275
"(21, False, 4)",276
"(21, True, 5)",277
"(21, False, 5)",278
"(21, True, 6)",279
"(21, False, 6)",280
"(21, True, 7)",281
"(21, False, 7)",282
"(21, True, 8)",283
"(21, False, 8)",284
"(21, True, 9)",285
"(21, False, 9)",286
"(21, True, 10)",287
"(21, False, 10)",288
"(21, True, 11)",289
"(21, False, 11)",290
